Decade,Decade_Label,Month,Label,q05,q95,mean,.group
1990,1990 - 1999,1,"DWD, monthly 'evaporation, potential'",2.617028824833703,19.418270509977827,12.225030795762503,1
1990,1990 - 1999,2,"DWD, monthly 'evaporation, potential'",7.4020620842572065,27.181640798226162,15.704175905395418,2
1990,1990 - 1999,3,"DWD, monthly 'evaporation, potential'",27.499645232815965,41.62075388026608,36.812133530426216,3
1990,1990 - 1999,4,"DWD, monthly 'evaporation, potential'",59.647472283813755,82.60383592017737,66.53175659029318,4
1990,1990 - 1999,5,"DWD, monthly 'evaporation, potential'",71.62410199556541,114.12044345898005,95.20305493964031,5
1990,1990 - 1999,6,"DWD, monthly 'evaporation, potential'",90.06886917960088,131.75170731707317,104.69990145356,6
1990,1990 - 1999,7,"DWD, monthly 'evaporation, potential'",91.61567627494458,142.87625277161862,117.87822123675782,7
1990,1990 - 1999,8,"DWD, monthly 'evaporation, potential'",82.39348115299336,109.05751662971176,95.68561221975857,8
1990,1990 - 1999,9,"DWD, monthly 'evaporation, potential'",37.29084257206209,64.01658536585366,47.730389258438045,9
1990,1990 - 1999,10,"DWD, monthly 'evaporation, potential'",21.001685144124167,29.996385809312635,25.235119487558514,10
1990,1990 - 1999,11,"DWD, monthly 'evaporation, potential'",5.486186252771619,15.663037694013303,10.874291697462429,11
1990,1990 - 1999,12,"DWD, monthly 'evaporation, potential'",2.195609756097561,14.088226164079824,8.577839369302785,12
2000,2000 - 2009,1,"DWD, monthly 'evaporation, potential'",2.6221175166297117,21.725554323725046,11.334556541019957,13
2000,2000 - 2009,2,"DWD, monthly 'evaporation, potential'",8.639573170731708,27.355254988913522,16.39320399113082,14
2000,2000 - 2009,3,"DWD, monthly 'evaporation, potential'",24.44437915742794,45.528131929046566,35.413558758314856,15
2000,2000 - 2009,4,"DWD, monthly 'evaporation, potential'",53.68052660753881,92.48793237250555,71.11056541019956,16
2000,2000 - 2009,5,"DWD, monthly 'evaporation, potential'",84.78604767184036,115.00427383592017,102.67246119733925,17
