Decade,Decade_Label,Month,Label,q05,q95,mean,.group
2000,2000 - 2009,6,"DWD, monthly 'evaporation, potential'",90.37759977827052,138.2403603104213,112.68584257206209,18
2000,2000 - 2009,7,"DWD, monthly 'evaporation, potential'",90.76785476718403,145.097699556541,113.94582039911309,19
2000,2000 - 2009,8,"DWD, monthly 'evaporation, potential'",78.54369733924612,113.22564301552106,93.50339246119734,20
2000,2000 - 2009,9,"DWD, monthly 'evaporation, potential'",39.7169955654102,65.99760532150775,52.60578713968958,21
2000,2000 - 2009,10,"DWD, monthly 'evaporation, potential'",20.072355875831487,29.448381374722835,24.362760532150777,22
2000,2000 - 2009,11,"DWD, monthly 'evaporation, potential'",8.863420177383592,15.773819290465632,11.789733924611975,23
2000,2000 - 2009,12,"DWD, monthly 'evaporation, potential'",2.4872062084257207,11.492743902439024,6.842206208425721,24
2010,2010 - 2019,1,"DWD, monthly 'evaporation, potential'",3.340343680709534,15.83399667405765,9.653059866962307,25
2010,2010 - 2019,2,"DWD, monthly 'evaporation, potential'",8.172161862527716,26.35169068736142,16.312461197339246,26
2010,2010 - 2019,3,"DWD, monthly 'evaporation, potential'",21.085559866962306,46.38250554323726,37.85761640798226,27
2010,2010 - 2019,4,"DWD, monthly 'evaporation, potential'",62.57053215077605,91.12626385809313,75.31780487804879,28
2010,2010 - 2019,5,"DWD, monthly 'evaporation, potential'",71.6119401330377,131.74490576496672,103.94276053215079,29
2010,2010 - 2019,6,"DWD, monthly 'evaporation, potential'",105.55920177383592,152.79332039911304,122.49854767184036,30
2010,2010 - 2019,7,"DWD, monthly 'evaporation, potential'",100.94094235033259,149.58262195121952,125.94960088691796,31
2010,2010 - 2019,8,"DWD, monthly 'evaporation, potential'",80.18568736141907,127.10270509977826,100.11141906873614,32
2010,2010 - 2019,9,"DWD, monthly 'evaporation, potential'",43.07873059866962,70.31271064301552,54.309623059866965,33
2010,2010 - 2019,10,"DWD, monthly 'evaporation, potential'",19.561640798226165,33.14460643015521,26.101130820399113,34
2010,2010 - 2019,11,"DWD, monthly 'evaporation, potential'",8.956125277161863,15.866917960088685,11.631873614190688,35
2010,2010 - 2019,12,"DWD, monthly 'evaporation, potential'",3.3783647450110865,14.67332039911308,10.40549889135255,36
2020,2020 - 2029,1,"DWD, monthly 'evaporation, potential'",9.21158536585366,16.480931263858093,13.561973392461198,37
2020,2020 - 2029,2,"DWD, monthly 'evaporation, potential'",16.366729490022177,32.52592017738359,26.10716925351072,38
2020,2020 - 2029,3,"DWD, monthly 'evaporation, potential'",43.7429711751663,52.888248337028834,48.44671101256468,39
2020,2020 - 2029,4,"DWD, monthly 'evaporation, potential'",63.36915742793792,94.12980044345899,76.9369549150037,40
2020,2020 - 2029,5,"DWD, monthly 'evaporation, potential'",95.01015521064302,118.94057649667405,106.07121212121213,41
2020,2020 - 2029,6,"DWD, monthly 'evaporation, potential'",126.78869179600888,145.9828381374723,137.6118255728012,42
2020,2020 - 2029,7,"DWD, monthly 'evaporation, potential'",121.31524390243904,140.6352106430155,129.05347376201036,43
2020,2020 - 2029,8,"DWD, monthly 'evaporation, potential'",88.88292682926831,117.82311529933483,105.55073909830008,44
2020,2020 - 2029,9,"DWD, monthly 'evaporation, potential'",51.14730598669623,62.3178824833703,56.73259423503326,45
2020,2020 - 2029,10,"DWD, monthly 'evaporation, potential'",25.770848115299337,31.10110310421286,28.4359756097561,46
2020,2020 - 2029,11,"DWD, monthly 'evaporation, potential'",12.059434589800443,12.813957871396898,12.43669623059867,47
2020,2020 - 2029,12,"DWD, monthly 'evaporation, potential'",6.596169623059867,8.672455654101997,7.634312638580932,48
