Decade,Decade_Label,Month,Label,q05,q95,mean,.group
1990,1990 - 1999,1,"DWD, monthly 'evaporation, real'",2.274168514412417,19.186319290465633,11.900628233555064,1
1990,1990 - 1999,2,"DWD, monthly 'evaporation, real'",7.000022172949002,26.443636363636365,15.095429908844544,2
1990,1990 - 1999,3,"DWD, monthly 'evaporation, real'",24.26988913525499,39.630620842572064,33.51709780734171,3
1990,1990 - 1999,4,"DWD, monthly 'evaporation, real'",49.88525498891353,55.680022172949,52.97443951712245,4
1990,1990 - 1999,5,"DWD, monthly 'evaporation, real'",43.12215077605322,70.89906873614191,59.27962552352797,5
1990,1990 - 1999,6,"DWD, monthly 'evaporation, real'",40.20432372505543,76.16764966740578,63.817923133776794,6
1990,1990 - 1999,7,"DWD, monthly 'evaporation, real'",47.95055432372506,78.05019955654102,63.621643261887165,7
1990,1990 - 1999,8,"DWD, monthly 'evaporation, real'",26.11982261640798,63.31545454545454,44.165151515151514,8
1990,1990 - 1999,9,"DWD, monthly 'evaporation, real'",17.680665188470066,37.27485587583149,31.20157674304016,9
1990,1990 - 1999,10,"DWD, monthly 'evaporation, real'",16.0280044345898,23.919356984478938,19.949544222714955,10
1990,1990 - 1999,11,"DWD, monthly 'evaporation, real'",5.09509977827051,14.94170731707317,9.956380881990638,11
1990,1990 - 1999,12,"DWD, monthly 'evaporation, real'",2.0938359201773835,13.949068736141907,8.425030795762504,12
2000,2000 - 2009,1,"DWD, monthly 'evaporation, real'",2.605958980044346,21.051252771618618,11.087139689578715,13
2000,2000 - 2009,2,"DWD, monthly 'evaporation, real'",8.17427937915743,26.670315964523276,15.834113082039913,14
2000,2000 - 2009,3,"DWD, monthly 'evaporation, real'",23.329451219512197,41.869484478935696,32.513237250554326,15
2000,2000 - 2009,4,"DWD, monthly 'evaporation, real'",44.42021064301552,58.9135088691796,50.81108647450111,16
2000,2000 - 2009,5,"DWD, monthly 'evaporation, real'",40.20272727272727,72.026103104212865,59.39607538802661,17
2000,2000 - 2009,6,"DWD, monthly 'evaporation, real'",37.83853104212861,80.50344789356981,57.35966740576497,18
2000,2000 - 2009,7,"DWD, monthly 'evaporation, real'",37.66400221729491,85.77375277161863,64.33761640798227,19
2000,2000 - 2009,8,"DWD, monthly 'evaporation, real'",31.193564301552108,70.58574833702882,54.133769401330376,20
2000,2000 - 2009,9,"DWD, monthly 'evaporation, real'",26.893458980044347,39.54491130820399,34.728503325942356,21
2000,2000 - 2009,10,"DWD, monthly 'evaporation, real'",17.319334811529934,23.428919068736143,19.895997782705102,22
2000,2000 - 2009,11,"DWD, monthly 'evaporation, real'",8.226152993348116,14.62538248337029,10.901840354767184,23
2000,2000 - 2009,12,"DWD, monthly 'evaporation, real'",2.4872062084257207,10.481241685144123,6.56089800443459,24
2010,2010 - 2019,1,"DWD, monthly 'evaporation, real'",3.2948946784922395,15.70389689578714,9.568824833702884,25
2010,2010 - 2019,2,"DWD, monthly 'evaporation, real'",8.114722838137473,23.396707317073172,15.250820399113083,26
2010,2010 - 2019,3,"DWD, monthly 'evaporation, real'",19.986197339246118,41.57011640798227,33.279334811529935,27
2010,2010 - 2019,4,"DWD, monthly 'evaporation, real'",49.546640798226164,66.66970066518846,55.10486696230599,28
2010,2010 - 2019,5,"DWD, monthly 'evaporation, real'",35.711186252771626,60.70155764966741,47.46517738359202,29
2010,2010 - 2019,6,"DWD, monthly 'evaporation, real'",41.5409756097561,85.03512195121951,63.85505543237251,30
2010,2010 - 2019,7,"DWD, monthly 'evaporation, real'",43.07969512195122,90.53329268292683,66.38644124168515,31
2010,2010 - 2019,8,"DWD, monthly 'evaporation, real'",34.30926829268293,75.55565410199557,56.803248337028826,32
2010,2010 - 2019,9,"DWD, monthly 'evaporation, real'",21.12868625277162,43.36280487804878,33.02977827050998,33
2010,2010 - 2019,10,"DWD, monthly 'evaporation, real'",15.269889135254989,26.669733924611972,21.066474501108647,34
2010,2010 - 2019,11,"DWD, monthly 'evaporation, real'",7.244329268292683,15.213209534368065,10.471407982261642,35
2010,2010 - 2019,12,"DWD, monthly 'evaporation, real'",3.3386529933481155,14.505498891352552,10.119356984478936,36
2020,2020 - 2029,1,"DWD, monthly 'evaporation, real'",9.109589800443459,15.550975609756097,13.162638580931263,37
2020,2020 - 2029,2,"DWD, monthly 'evaporation, real'",15.428503325942353,32.00855875831486,25.439985218034,38
2020,2020 - 2029,3,"DWD, monthly 'evaporation, real'",38.233647450110865,42.166108647450116,40.253399852180344,39
2020,2020 - 2029,4,"DWD, monthly 'evaporation, real'",39.75681818181819,49.660809312638584,44.51260162601626,40
2020,2020 - 2029,5,"DWD, monthly 'evaporation, real'",32.78258314855876,67.11,47.41533628972654,41
2020,2020 - 2029,6,"DWD, monthly 'evaporation, real'",40.08858093126386,51.95570953436807,45.1069844789357,42
2020,2020 - 2029,7,"DWD, monthly 'evaporation, real'",40.35210643015522,85.24923503325941,58.631855136733186,43
2020,2020 - 2029,8,"DWD, monthly 'evaporation, real'",35.048968957871395,50.05412416851441,41.836659275683665,44
2020,2020 - 2029,9,"DWD, monthly 'evaporation, real'",39.508148558758315,40.82821507760533,40.16818181818182,45
2020,2020 - 2029,10,"DWD, monthly 'evaporation, real'",23.54638580931264,25.676452328159645,24.611419068736144,46
2020,2020 - 2029,11,"DWD, monthly 'evaporation, real'",11.54488913525499,11.794135254988912,11.669512195121952,47
2020,2020 - 2029,12,"DWD, monthly 'evaporation, real'",6.536446784922394,7.982732815964523,7.259589800443459,48
