Decade,Decade_Label,Month,Label,q05,q95,mean,.group
1990,1990 - 1999,1,"DWD, monthly 'soil moisture'",9.113525498891352,10.423414634146342,9.896427691549643,1
1990,1990 - 1999,2,"DWD, monthly 'soil moisture'",9.537716186252773,10.299623059866963,9.956627248090664,2
1990,1990 - 1999,3,"DWD, monthly 'soil moisture'",9.071396895787139,10.237339246119735,9.607033752155704,3
1990,1990 - 1999,4,"DWD, monthly 'soil moisture'",7.437671840354768,9.467139689578715,8.468871643261888,4
1990,1990 - 1999,5,"DWD, monthly 'soil moisture'",5.973259423503327,7.6066075388026615,6.830315348608032,5
1990,1990 - 1999,6,"DWD, monthly 'soil moisture'",4.976252771618626,7.91569844789357,6.1875461936437555,6
1990,1990 - 1999,7,"DWD, monthly 'soil moisture'",4.572350332594235,7.009844789356984,5.492005420054201,7
1990,1990 - 1999,8,"DWD, monthly 'soil moisture'",4.005742793791574,6.668270509977827,5.05809312638581,8
1990,1990 - 1999,9,"DWD, monthly 'soil moisture'",3.7784922394678495,8.721862527716185,6.0200172456270025,9
1990,1990 - 1999,10,"DWD, monthly 'soil moisture'",4.054456762749446,8.622261640798227,6.446415373244642,10
1990,1990 - 1999,11,"DWD, monthly 'soil moisture'",5.21720620842572,10.00669623059867,7.60230352303523,11
1990,1990 - 1999,12,"DWD, monthly 'soil moisture'",6.710576496674058,10.36,8.990330130574034,12
2000,2000 - 2009,1,"DWD, monthly 'soil moisture'",8.234661862527718,10.4,9.640521064301552,13
2000,2000 - 2009,2,"DWD, monthly 'soil moisture'",9.723364745011088,10.299600886917961,10.060598669623062,14
2000,2000 - 2009,3,"DWD, monthly 'soil moisture'",9.256064301552106,10.155000000000001,9.83458980044346,15
2000,2000 - 2009,4,"DWD, monthly 'soil moisture'",7.188686252771619,9.597971175166297,8.29049889135255,16
2000,2000 - 2009,5,"DWD, monthly 'soil moisture'",5.720814855875831,7.5028325942350325,6.482272727272727,17
2000,2000 - 2009,6,"DWD, monthly 'soil moisture'",4.990942350332595,6.632311529933482,5.657006651884701,18
2000,2000 - 2009,7,"DWD, monthly 'soil moisture'",4.365460088691796,6.755022172949001,5.385886917960089,19
2000,2000 - 2009,8,"DWD, monthly 'soil moisture'",3.993946784922395,7.65660199556541,5.400831485587584,20
2000,2000 - 2009,9,"DWD, monthly 'soil moisture'",4.1009090909090915,7.842261640798226,5.701784922394679,21
2000,2000 - 2009,10,"DWD, monthly 'soil moisture'",4.164273835920177,9.349451219512193,6.622483370288249,22
2000,2000 - 2009,11,"DWD, monthly 'soil moisture'",5.4083259423503325,10.19540465631929,7.986108647450111,23
2000,2000 - 2009,12,"DWD, monthly 'soil moisture'",6.642172949002218,10.4,9.0260975609756109,24
2010,2010 - 2019,1,"DWD, monthly 'soil moisture'",8.388924611973392,10.441524390243902,9.823436807095344,25
2010,2010 - 2019,2,"DWD, monthly 'soil moisture'",8.864656319290466,10.31,9.81189578713969,26
2010,2010 - 2019,3,"DWD, monthly 'soil moisture'",8.12869179600887,10.010000000000002,9.221130820399114,27
2010,2010 - 2019,4,"DWD, monthly 'soil moisture'",6.273087583148559,8.715437915742793,7.608835920177384,28
2010,2010 - 2019,5,"DWD, monthly 'soil moisture'",5.1796341463414635,7.551951219512194,5.995011086474501,29
2010,2010 - 2019,6,"DWD, monthly 'soil moisture'",4.582971175166297,7.831053215077604,5.640820399113083,30
2010,2010 - 2019,7,"DWD, monthly 'soil moisture'",3.9329878048780484,7.536757206208426,5.531674057649668,31
2010,2010 - 2019,8,"DWD, monthly 'soil moisture'",3.705221729490022,8.648320399113082,5.676818181818182,32
2010,2010 - 2019,9,"DWD, monthly 'soil moisture'",3.561236141906874,9.589174057649668,5.683769401330377,33
2010,2010 - 2019,10,"DWD, monthly 'soil moisture'",4.433863636363636,9.534988913525499,6.651241685144124,34
2010,2010 - 2019,11,"DWD, monthly 'soil moisture'",5.000886917960089,10.08589246119734,7.623558758314856,35
2010,2010 - 2019,12,"DWD, monthly 'soil moisture'",6.232167405764967,10.30228935698448,8.715709534368072,36
2020,2020 - 2029,1,"DWD, monthly 'soil moisture'",8.35138580931264,9.889068736141907,9.265077605321508,37
2020,2020 - 2029,2,"DWD, monthly 'soil moisture'",9.347217294900222,10.174778270509979,9.852623798965263,38
2020,2020 - 2029,3,"DWD, monthly 'soil moisture'",8.567062084257206,9.318592017738359,8.991019955654101,39
2020,2020 - 2029,4,"DWD, monthly 'soil moisture'",6.315321507760533,7.580011086474502,6.8122320768662235,40
2020,2020 - 2029,5,"DWD, monthly 'soil moisture'",5.202716186252772,6.3839911308204,5.6861419068736145,41
2020,2020 - 2029,6,"DWD, monthly 'soil moisture'",4.640842572062085,4.823137472283815,4.7539911308204,42
2020,2020 - 2029,7,"DWD, monthly 'soil moisture'",3.939878048780488,6.385144124168515,4.875461936437547,43
2020,2020 - 2029,8,"DWD, monthly 'soil moisture'",3.823858093126386,5.400155210643016,4.454545454545455,44
2020,2020 - 2029,9,"DWD, monthly 'soil moisture'",4.793131929046564,6.7249390243902445,5.759035476718404,45
2020,2020 - 2029,10,"DWD, monthly 'soil moisture'",6.705620842572063,6.834733924611974,6.770177383592019,46
2020,2020 - 2029,11,"DWD, monthly 'soil moisture'",8.386995565410201,8.621873614190688,8.504434589800443,47
2020,2020 - 2029,12,"DWD, monthly 'soil moisture'",8.392511086474501,9.301391352549889,8.846951219512196,48
